RepairID;FailureCode;Description;Resolution;RepairDate;up__EquipmentID
1;F001;Pump overheating due to seal wear;Replaced mechanical seal;2024-03-10;PUMP-1001
2;F002;Reduced flow output;Impeller cleaning;2024-04-15;PUMP-1002
3;F003;High discharge temperature;Adjusted lubrication system;2024-07-20;COMP-3001
4;F004;Motor overheating;Replaced cooling fan;2024-02-18;MOTOR-9001
5;F005;Abnormal vibration detected;Bearing replacement;2024-06-12;VALVE-1201
6;F006;Compressor pressure drop under load;Replaced inlet valve and recalibrated pressure setpoint;2024-07-30;PUMP-1001
7;F007;Oil carryover observed in discharge;Replaced oil separator element and topped up oil;2024-08-06;PUMP-1002
8;F008;Excessive discharge temperature;Cleaned intercooler and verified lubrication flow;2024-08-13;COMP-3001
9;F009;Abnormal compressor noise / rotor rub;Inspected rotor clearances and replaced worn coupling;2024-08-20;MOTOR-9001
10;F010;Motor insulation resistance low;Dried windings and performed insulation resistance re-test;2024-08-27;VALVE-1201
11;F011;Motor coupling misalignment causing vibration;Laser aligned motor and replaced flexible coupling element;2024-09-03;PUMP-1001
12;F012;Cooling fan failure / airflow restricted;Replaced fan and cleaned air passages;2024-09-10;PUMP-1002
13;F013;Overcurrent trip during start;"Checked starter settings and replaced contactor; verified load";2024-09-17;COMP-3001
14;F014;Seal leakage at pump casing;Replaced seal kit and verified leak tightness;2024-09-24;MOTOR-9001
15;F015;Cavitation due to low suction pressure;Adjusted suction line, checked NPSH and removed blockage;2024-10-01;VALVE-1201
16;F016;Bearing temperature high;Replaced bearings and performed vibration alignment check;2024-10-08;PUMP-1001
17;F017;Pump not priming / air ingress;"Reprimed pump and tightened suction fittings; replaced gasket";2024-10-15;PUMP-1002
18;F018;Seal leakage at pump casing;Replaced seal kit and verified leak tightness;2024-10-22;COMP-3001
19;F019;Cavitation due to low suction pressure;Adjusted suction line, checked NPSH and removed blockage;2024-10-29;MOTOR-9001
20;F020;Bearing temperature high;Replaced bearings and performed vibration alignment check;2024-11-05;VALVE-1201
21;F021;Pump not priming / air ingress;"Reprimed pump and tightened suction fittings; replaced gasket";2024-11-12;PUMP-1001
22;F022;Valve sticking due to debris;Cleaned valve internals and installed upstream strainer;2024-11-19;PUMP-1002
23;F023;Actuator not responding;Checked wiring and replaced actuator control board;2024-11-26;COMP-3001
24;F024;Seat leakage detected;"Lapped seat and replaced seat ring; performed leak test";2024-12-03;MOTOR-9001
25;F025;Positioner calibration drift;Recalibrated positioner and updated firmware parameters;2024-12-10;VALVE-1201
26;F026;Pressure roller adjustment;Adjust screws so that plunger  will have clearance;2026-04-01;Model-245
27;F001;Mechanical seal leakage causing overheating;Replaced leaking seal assembly and tightened gland arrangement.;2026-04-29;PUMP-1001
28;F001;Seal degradation causing elevated casing temperature;Installed new seal kit and inspected seal chamber for damage.;2026-04-29;PUMP-1001
29;F001;Recurrent overheating after seal wear;Replaced worn seal, checked lubrication condition, and performed temperature test run.;2026-04-29;PUMP-1001
30;F001;Pump temperature rise due to worn seal and friction;Replaced seal components and corrected friction point during reassembly.;2026-04-29;PUMP-1001
31;F005;Control unit overheating due to cooling failure;Restored cooling airflow and replaced faulty cooling fan.;2026-04-29;VALVE-1201
32;F005;Electrical cooling failure causing valve actuator temperature rise;Cleaned ventilation path and repaired cooling circuit connection.;2026-04-29;VALVE-1201
33;F005;Actuator overheating from failed cooling assembly;Replaced cooling module and verified actuator operating temperature.;2026-04-29;VALVE-1201
34;F005;Cooling fault leading to intermittent electrical shutdown;Repaired cooling system power supply and tested continuous operation.;2026-04-29;VALVE-1201
35;F005;Valve control overheating caused by inadequate cooling;Restored cooling function and inspected actuator enclosure for heat damage.;2026-04-29;VALVE-1201
36;F002;Abnormal vibration due to bearing failure;Replaced failed bearings and performed shaft alignment check.;2026-04-29;PUMP-1002
37;F002;Bearing wear causing noise and vibration in pump;Installed new bearing set and rebalanced rotating components.;2026-04-29;PUMP-1002
38;F002;Pump bearing failure resulting in elevated vibration levels;Removed damaged bearings and verified housing fit before reassembly.;2026-04-29;PUMP-1002
39;F002;Excessive shaft vibration caused by worn bearings;Replaced bearings and completed post-maintenance vibration measurement.;2026-04-29;PUMP-1002
40;F002;Bearing degradation leading to unstable pump operation;Changed bearing assembly and confirmed smooth operation during trial run.;2026-04-29;PUMP-1002
101;F033;Vat over travelled on conveyor causing crane fault;"Manually moved vat and restarted crane; confirmed normal operation.";2026-05-16;36558
102;F033;Satellite not home fault on Crane 63;Reset crane 63 satellite not home fault.;2026-05-12;36558
103;F033;Satellite not home fault on Crane 63 (recurrence);Reset crane 63 satellite not home fault.;2026-05-12;36558
104;F033;Satellite stuck in extended position;Retracted satellite and restored to home position.;2026-05-12;36558
105;F033;Satellite on wrong side of crane;Repositioned satellite to correct side and verified operation.;2026-06-08;36558
106;F033;Satellite overhang detected on Crane 63;Corrected satellite overhang and confirmed proper positioning.;2026-05-03;36558
107;F033;Cribb with full load stuck between conveyor and satellite home position;"Cleared obstruction between conveyor and satellite home position; resumed operation.";2026-05-05;36558
201;F035;Brake resistor failure on forming axis 2;Replaced brake resistor for Hall 7A MultiVac forming axis 2.;2026-05-11;39067
202;F035;Discharge sprocket worn out;Sourced replacement sprocket from Hall 4 and installed on 7A discharge unit.;0026-05-07;39067
203;F035;Guard 30 operator-side sensor failure;Troubleshot and replaced faulty operator-side sensor (SAP# 107420945, Qty 4).;2026-05-06;39067
204;F035;Cross cut #1 not cutting;"Replaced solenoid valve on cross cut #1; verified cutting operation.";2026-05-04;39067
205;F035;Printer cover clip broken;Replaced broken printer cover clip.;2026-04-28;39067
206;F035;Film chain tension slipping on operator side;Inspected and re-tensioned film chain on operator side.;2026-04-19;39067
301;F032;Zipper unwind brake not working;Replaced brake for zipper unwind (SAP 60189634).;2026-05-13;35071
302;F032;Top film tracking out of alignment;Realigned top film tracking, re-taught sensor, and reduced advance speed.;2026-05-12;35071
303;F032;Splice bed sensor broken and cable connector damaged;Replaced broken splice bed sensor and repaired damaged cable connector.;2026-05-06;35071
304;F032;Lower inner swing arm bearings worn;Replaced worn bearings on lower inner swing arm.;2026-05-04;35071
305;F032;Reed switches failed on MultiVac;Replaced 2 reed switches (SAP# 60144492).;2026-05-02;35071
306;F032;Forming station motor insulation failure (0 MΩ to ground);Replaced forming station motor (SAP 60239109) and cable (SAP 60156886).;2022026-04-306-06-08;35071
401;F034;Log lift magnet misalignment on slicer;Adjusted Hall 12 log lift magnet alignment for slicer.;2026-05-07;36655
