EquipmentID;EquipmentName;ModelNumber;FunctionalLocation;Plant
PUMP-1001;Feed Water Pump;PX-200;FL-100;Plant-A
PUMP-1002;Cooling Pump;PX-210;FL-200;Plant-A
COMP-3001;Air Compressor;AC-450;FL-300;Plant-B
MOTOR-9001;Drive Motor;DM-600;FL-400;Plant-A
VALVE-1201;Pressure Valve;PV-100;FL-500;Plant-C
Model-245;Filled Tray Sealer;TD60;FL-600;Plant-D
36558;ASRS Crane WIP;NA;5041-ASR-WIP-CR63;5041
39067;H7A MultiVac R535;R535;5041-DBO-RTE-SH7A-PK1;5041
35071;H6 MultiVac R535;R535;5041-DBO-RTE-SH06-PK1;5041
36655;H12 Weber Slicer System 905;905;5041-DBO-RTE-SH12-PK1;5041
33250;JC1 L1 MULTIVAC;R535;5041-WEN-LN1-PCK1-L01;5041
